endcap,station,ring,chamber,NSegments,xx,yy,zz,aa,bb,cc
1,1,1,1,None,0,0,0,0,0,0
1,1,1,2,35930,7.30E-07,0.000675517,0.01,2.30E-07,1.81E-07,4.95E-10
1,1,1,3,32811,9.72E-07,0.000609777,0.01,2.30E-07,1.81E-07,7.36E-10
1,1,1,4,35517,8.26E-07,0.00115146,0.01,2.30E-07,1.81E-07,5.12E-10
1,1,1,5,29664,1.15E-06,0.000604264,0.01,2.30E-07,1.81E-07,8.49E-10
1,1,1,6,31535,8.47E-07,0.000468956,0.01,2.30E-07,1.81E-07,5.58E-10
1,1,1,7,33887,9.39E-07,0.00121273,0.01,2.30E-07,1.81E-07,6.69E-10
1,1,1,8,34975,7.15E-07,0.000450752,0.01,2.30E-07,1.81E-07,5.11E-10
1,1,1,9,35013,9.20E-07,0.0013302,0.01,2.30E-07,1.81E-07,6.80E-10
1,1,1,10,34127,7.44E-07,0.000468168,0.01,2.30E-07,1.81E-07,5.32E-10
1,1,1,11,29789,1.06E-06,0.00188021,0.01,2.30E-07,1.81E-07,7.77E-10
1,1,1,12,32222,7.48E-07,0.000463506,0.01,2.30E-07,1.81E-07,5.41E-10
1,1,1,13,30116,1.02E-06,0.00159157,0.01,2.30E-07,1.81E-07,1.09E-09
1,1,1,14,32943,7.36E-07,0.000475601,0.01,2.30E-07,1.81E-07,5.25E-10
1,1,1,15,29733,1.06E-06,0.00190794,0.01,2.30E-07,1.81E-07,7.67E-10
1,1,1,16,31790,7.86E-07,0.000501649,0.01,2.30E-07,1.81E-07,5.56E-10
1,1,1,17,27842,1.29E-06,0.000724781,0.01,2.30E-07,1.81E-07,1.27E-09
1,1,1,18,34462,7.09E-07,0.000445807,0.01,2.30E-07,1.81E-07,5.01E-10
1,1,1,19,31087,9.98E-07,0.000624572,0.01,2.30E-07,1.81E-07,7.16E-10
1,1,1,20,33210,7.43E-07,0.000471046,0.01,2.30E-07,1.81E-07,5.18E-10
1,1,1,21,33753,1.06E-06,0.00149962,0.01,2.30E-07,1.81E-07,6.85E-10
1,1,1,22,35087,7.11E-07,0.00149564,0.01,2.30E-07,1.81E-07,5.10E-10
1,1,1,23,31752,9.79E-07,0.00062173,0.01,2.30E-07,1.81E-07,6.89E-10
1,1,1,24,34031,7.28E-07,0.000454533,0.01,2.30E-07,1.81E-07,4.98E-10
1,1,1,25,35024,8.77E-07,0.00149671,0.01,2.30E-07,1.81E-07,6.21E-10
1,1,1,26,35365,7.00E-07,0.00152007,0.01,2.30E-07,1.81E-07,4.94E-10
1,1,1,27,33665,1.01E-06,0.00143238,0.01,2.30E-07,1.81E-07,6.67E-10
1,1,1,28,36005,7.11E-07,0.000450848,0.01,2.30E-07,1.81E-07,4.95E-10
1,1,1,29,34775,9.32E-07,0.00113791,0.01,2.30E-07,1.81E-07,6.92E-10
1,1,1,30,37356,6.83E-07,0.000439108,0.01,2.30E-07,1.81E-07,4.97E-10
1,1,1,31,34446,1.14E-06,0.00100257,0.01,2.30E-07,1.81E-07,7.45E-10
1,1,1,32,21764,1.21E-06,0.000720142,0.01,2.30E-07,1.81E-07,6.40E-10
1,1,1,33,None,0,0,0,0,0,0
1,1,1,34,37431,7.06E-07,0.00113751,0.01,2.30E-07,1.81E-07,7.05E-10
1,1,1,35,35311,8.85E-07,0.000558876,0.01,2.30E-07,1.81E-07,6.37E-10
1,1,1,36,35425,8.07E-07,0.000487923,0.01,2.30E-07,1.81E-07,4.99E-10
1,1,2,1,12463,2.65E-05,0.0148251,0.01,3.03E-07,1.60E-07,9.44E-09
1,1,2,2,13254,2.01E-05,0.0107407,0.01,3.03E-07,1.60E-07,7.63E-09
1,1,2,3,14601,2.05E-05,0.0104394,0.01,3.03E-07,1.60E-07,8.23E-09
1,1,2,4,12908,2.61E-05,0.0106788,0.01,3.03E-07,1.60E-07,1.02E-08
1,1,2,5,15185,1.93E-05,0.0104705,0.01,3.03E-07,1.60E-07,7.67E-09
1,1,2,6,16049,1.65E-05,0.00935883,0.01,3.03E-07,1.60E-07,6.85E-09
1,1,2,7,16355,1.76E-05,0.00977687,0.01,3.03E-07,1.60E-07,6.96E-09
1,1,2,8,15596,1.62E-05,0.00907531,0.01,3.03E-07,1.60E-07,6.21E-09
1,1,2,9,15157,1.98E-05,0.0105383,0.01,3.03E-07,1.60E-07,7.64E-09
1,1,2,10,15890,1.64E-05,0.00938928,0.01,3.03E-07,1.60E-07,6.78E-09
1,1,2,11,14209,2.19E-05,0.0108604,0.01,3.03E-07,1.60E-07,8.53E-09
1,1,2,12,14509,1.82E-05,0.0096861,0.01,3.03E-07,1.60E-07,7.12E-09
1,1,2,13,14629,1.99E-05,0.0141749,0.01,3.03E-07,1.60E-07,8.08E-09
1,1,2,14,18518,1.40E-05,0.00810572,0.01,3.03E-07,1.60E-07,6.03E-09
1,1,2,15,18654,1.50E-05,0.00902981,0.01,3.03E-07,1.60E-07,6.35E-09
1,1,2,16,16129,1.63E-05,0.00909327,0.01,3.03E-07,1.60E-07,6.21E-09
