wheel,station,sector,NSegments,xx,yy,zz,aa,bb,cc
-2,1,1,14877,3.23E-05,5.93E-05,3.73E-05,1.81E-08,2.38E-08,8.00E-09
-2,1,2,9948,7.70E-05,0.00554159,0.00362069,3.88E-08,4.68E-08,1.99E-08
-2,1,3,12410,7.25E-05,0.00462498,0.00302421,3.19E-08,3.77E-08,1.59E-08
-2,1,4,15734,4.47E-05,0.00370657,0.0023988,2.50E-08,2.98E-08,1.18E-08
-2,1,5,14548,5.65E-05,0.00405154,0.0026358,2.71E-08,3.19E-08,1.28E-08
-2,1,6,13330,6.43E-05,0.00419616,0.00274323,3.15E-08,3.56E-08,1.62E-08
-2,1,7,16529,4.54E-05,0.00352956,0.00230129,2.52E-08,2.96E-08,1.22E-08
-2,1,8,17357,4.36E-05,0.00333887,0.00217338,2.33E-08,2.77E-08,1.16E-08
-2,1,9,11197,6.46E-05,0.00527044,0.0034397,3.43E-08,4.04E-08,1.56E-08
-2,1,10,8770,8.41E-05,0.00684446,0.00445983,4.20E-08,5.05E-08,1.85E-08
-2,1,11,9809,8.95E-05,0.00629143,0.00413175,3.95E-08,4.96E-08,1.74E-08
-2,1,12,16282,4.69E-05,0.0037517,0.002443,2.52E-08,2.94E-08,1.23E-08
-2,2,1,23697,3.97E-05,0.00259024,0.0023684,3.29E-08,2.98E-08,1.49E-08
-2,2,2,20396,4.91E-05,0.00299024,0.00274656,3.98E-08,3.58E-08,1.78E-08
-2,2,3,20420,4.55E-05,0.00295266,0.00267484,4.07E-08,3.62E-08,1.88E-08
-2,2,4,19350,4.28E-05,0.0032232,0.00292572,3.95E-08,3.57E-08,1.74E-08
-2,2,5,22517,3.99E-05,0.00264804,0.00241413,3.59E-08,3.11E-08,1.64E-08
-2,2,6,23539,3.88E-05,0.00266842,0.00243634,3.45E-08,3.08E-08,1.54E-08
-2,2,7,24527,3.77E-05,0.00250637,0.00228987,3.18E-08,2.81E-08,1.44E-08
-2,2,8,24494,3.59E-05,0.00253127,0.00231633,3.17E-08,2.84E-08,1.39E-08
-2,2,9,18054,5.55E-05,0.00311224,0.00284917,4.29E-08,3.79E-08,1.97E-08
-2,2,10,14827,7.62E-05,0.00415733,0.00382883,5.99E-08,5.50E-08,2.82E-08
-2,2,11,14634,6.38E-05,0.00373561,0.00341954,5.66E-08,4.97E-08,2.61E-08
-2,2,12,21789,4.19E-05,0.0029451,0.00270161,3.69E-08,3.46E-08,1.64E-08
-2,3,1,21220,7.70E-05,0.00371704,0.00489832,7.47E-08,6.36E-08,2.85E-08
-2,3,2,22123,6.69E-05,0.00346805,0.00458929,7.02E-08,6.13E-08,2.63E-08
-2,3,3,22266,6.76E-05,0.00336648,0.00443653,6.79E-08,5.79E-08,2.54E-08
-2,3,4,22102,6.74E-05,0.00340376,0.00446783,6.81E-08,5.83E-08,2.50E-08
-2,3,5,22851,6.68E-05,0.00331709,0.00438498,6.57E-08,5.65E-08,2.48E-08
-2,3,6,24412,6.63E-05,0.00316285,0.00418026,6.28E-08,5.39E-08,2.39E-08
-2,3,7,23840,6.66E-05,0.00318743,0.00420495,6.47E-08,5.57E-08,2.45E-08
-2,3,8,22133,6.98E-05,0.00335216,0.0044422,6.84E-08,5.86E-08,2.55E-08
-2,3,9,19710,7.64E-05,0.00372061,0.00491287,8.05E-08,6.61E-08,2.93E-08
-2,3,10,16302,8.94E-05,0.00501845,0.00661725,9.76E-08,8.30E-08,3.64E-08
-2,3,11,19289,7.95E-05,0.00414819,0.00548909,8.31E-08,7.11E-08,3.04E-08
-2,3,12,17437,8.54E-05,0.00510447,0.00676303,9.46E-08,8.47E-08,3.44E-08
-2,4,1,42482,0.000126245,,0.00790192,1.54E-06,4.71E-07,5.23E-08
-2,4,2,41616,0.000132805,,0.00843507,1.55E-06,4.82E-07,5.48E-08
-2,4,3,37909,0.000126956,,0.00829416,1.71E-06,5.19E-07,5.29E-08
-2,4,4,None,0.000117686,,0.01094346379,3.87E-06,5.63E-06,3.76E-08
-2,4,5,37193,0.000114212,,0.000855333,1.79E-06,1.77E-07,5.03E-08
-2,4,6,44479,0.000116051,,0.00681293,1.48E-06,4.49E-07,4.80E-08
-2,4,7,43797,0.000115846,,0.00670624,1.48E-06,4.53E-07,4.76E-08
-2,4,8,44408,0.000109598,,0.0010603,1.43E-06,9.53E-08,4.26E-08
-2,4,9,16269,0.000354691,,0.0520399,2.16E-05,3.86E-05,6.67E-08
-2,4,10,None,0.000117686,,0.01094346379,3.87E-06,5.63E-06,3.76E-08
-2,4,11,17273,0.000336559,,0.0540826,2.00E-05,3.71E-05,6.56E-08
-2,4,12,42849,0.000114641,,0.00702004,1.49E-06,4.58E-07,4.63E-08
-2,4,13,None,0.000117686,,0.01094346379,3.87E-06,5.63E-06,3.76E-08
-2,4,14,None,0.000117686,,0.01094346379,3.87E-06,5.63E-06,3.76E-08
-1,1,1,29123,2.04E-05,0.000362283,0.000955474,2.86E-08,3.26E-08,5.63E-09
-1,1,2,30483,1.75E-05,0.000353032,0.000923814,2.73E-08,3.15E-08,5.19E-09
-1,1,3,23528,2.32E-05,0.000554939,0.00123627,4.50E-08,4.48E-08,1.11E-08
-1,1,4,34048,1.66E-05,0.00029697,0.00077869,2.35E-08,2.69E-08,4.54E-09
-1,1,5,34079,1.70E-05,0.000296432,0.000776318,2.36E-08,2.70E-08,4.57E-09
-1,1,6,34022,1.74E-05,0.000314083,0.000822979,2.44E-08,2.72E-08,4.74E-09
-1,1,7,33347,1.68E-05,0.000309545,0.000810804,2.44E-08,2.76E-08,4.73E-09
-1,1,8,33882,1.61E-05,0.000297861,0.00078217,2.39E-08,2.73E-08,4.56E-09
-1,1,9,31147,1.79E-05,0.000338873,0.000891499,2.61E-08,3.01E-08,4.98E-09
-1,1,10,33258,1.63E-05,0.000310662,0.000816454,2.58E-08,2.91E-08,4.83E-09
-1,1,11,32615,1.74E-05,0.000324178,0.000850191,2.53E-08,2.96E-08,4.83E-09
-1,1,12,33060,1.76E-05,0.000312984,0.000823652,2.47E-08,2.81E-08,4.72E-09
-1,2,1,31768,2.59E-05,0.000389752,0.00141977,5.14E-08,4.95E-08,8.34E-09
-1,2,2,32947,2.44E-05,0.00037067,0.00135035,4.91E-08,4.87E-08,7.98E-09
-1,2,3,21817,3.72E-05,0.00070259,0.00217024,9.78E-08,8.87E-08,1.97E-08
-1,2,4,32195,2.51E-05,0.000369703,0.00134831,4.79E-08,4.70E-08,7.67E-09
-1,2,5,34540,2.24E-05,0.000337184,0.00123026,4.55E-08,4.41E-08,7.26E-09
-1,2,6,33787,2.36E-05,0.000369133,0.00135351,4.85E-08,4.74E-08,7.73E-09
-1,2,7,34458,2.34E-05,0.000352513,0.00128646,4.67E-08,4.53E-08,7.45E-09
-1,2,8,35279,2.24E-05,0.000342506,0.00124221,4.53E-08,4.40E-08,7.38E-09
-1,2,9,29928,2.93E-05,0.00041449,0.00151556,5.44E-08,5.31E-08,8.90E-09
-1,2,10,32663,2.40E-05,0.000368574,0.00134287,4.94E-08,4.81E-08,7.85E-09
-1,2,11,31649,2.27E-05,1.58E-05,5.14E-05,3.00E-08,5.05E-08,8.43E-09
-1,2,12,32913,2.44E-05,0.000368051,0.00134812,4.95E-08,4.98E-08,8.19E-09
-1,3,1,31547,4.75E-05,0.000527349,0.00274641,1.18E-07,1.04E-07,1.43E-08
-1,3,2,30605,4.75E-05,0.000537062,0.00277994,1.19E-07,1.08E-07,1.46E-08
-1,3,3,22161,6.83E-05,0.000879205,0.00389972,2.24E-07,1.76E-07,3.15E-08
